Indicator,Type,Ignore,Function,Data,Val,RoundPrecision,Exporter
Relative Spread Strength (RSS),Oscillators,,RSS,,Oscillator,0,Y
Relative Strength Index (RSI),Oscillators,,RSI,,Oscillator,0,Y
Relative Vigor Index,Oscillators,,RelativeVigorIndex,,Oscillator,2,Y
Relative Volatility Index (RVI),Oscillators,,RVI,,Oscillator,0,Y
R-squared,Other Indicators,,RSquared,,Oscillator,2,Y
Standard Deviation (StdDev),Other Indicators,,StdDev,,Oscillator,1,Y
Standard Error (StdError),Other Indicators,Y,StdError,,Price,3,N
Stochastics,Oscillators,,Stochastics,"Value, D, K",Oscillator,0,Y
Stochastics Fast,Oscillators,,StochasticsFast,"Value, D, K",Oscillator,0,Y
Stochastics RSI (StochRSI),Oscillators,,StochRSI,,Oscillator,2,Y
Summation (SUM),Other Indicators,Y,SUM,,,,N
Swing,Other Indicators,Y,Swing,,,,N
Time Series Forecast (TSF),Moving Averages and Related Indicators,,TSF,,Price,3,N
True Strength Index (TSI),Momentum Indicators,,TSI,,Oscillator,0,Y
Ultimate Oscillator,Oscillators,,UltimateOscillator,,Oscillator,0,Y
Volume (VOL),Volume Indicators,Y,VOL,,,,N
Volume Moving Average (VOLMA),Moving Averages and Related Indicators,,VOLMA,,Oscillator,0,N
Volume Oscillator,Oscillators,,VolumeOscillator,,Oscillator,0,N
Volume Rate of Change (VROC),Volume Indicators,,VROC,,Oscillator,0,Y
Volume Up Down,Volume Indicators,Y,VolumeUpDown,,,,N
Vortex,Oscillators,,Vortex,"VIPlus, VIMinus",Oscillator,1,Y
Williams %R,Oscillators,,WilliamsR,,Oscillator,0,Y
Wiseman Awesom Oscillator,Oscillators,,WisemanAwesomeOscillator,,Oscillator,1,Y
Woodies Pivots,Pivot Point Indicators,,WoodiesPivots,"PP, R1, R2, S1, S2",Price,3,N
ZigZag,Trend Indicators,Y,ZigZag,,Price,3,N
